source,destination,distance_km,days,transport,hotel_type,people,season,trip_type,group_type,travel_cost,hotel_cost,food_cost,total_cost,budget_category
Kolkata,Pune,122,3,flight,5-star,3,peak,short,family,892,26345,11995,58762,high
Hyderabad,Goa,185,5,flight,2-star,4,normal,medium,family,1665,7174,6975,23689,low
Hyderabad,Bangalore,1221,4,flight,5-star,2,normal,long,solo,5499,18207,9532,49764,high
Chennai,Hyderabad,626,6,train,3-star,5,off,long,solo,3123,26812,14746,52609,low
Delhi,Kolkata,1648,7,train,5-star,5,peak,long,family,10006,115390,45004,200911,high
Bangalore,Mumbai,804,7,train,2-star,4,off,medium,solo,3156,9572,8861,25419,low
Hyderabad,Delhi,445,7,train,4-star,4,off,long,couple,1738,36999,21890,71384,medium
Kolkata,Delhi,1964,1,bus,5-star,5,normal,short,couple,7829,18018,5871,30552,high
Pune,Jaipur,732,3,bus,2-star,5,peak,long,couple,3194,5949,5675,14276,low
Delhi,Kolkata,1511,6,bus,5-star,1,normal,short,family,1215,29729,7168,36720,high
Kochi,Kolkata,112,1,flight,2-star,4,peak,long,family,1074,2035,1539,6958,low
Chennai,Mumbai,199,2,train,4-star,4,peak,long,family,947,7795,7343,18936,medium
Hyderabad,Kolkata,1954,5,flight,4-star,1,peak,short,solo,4743,14947,4581,36409,high
Mumbai,Delhi,1193,4,bus,4-star,5,peak,long,solo,5264,35033,18748,56831,medium
Jaipur,Bangalore,557,7,train,4-star,1,off,medium,couple,550,18814,5236,28969,medium
Kolkata,Goa,242,4,bus,5-star,4,peak,medium,solo,842,39326,21454,59338,medium
Chennai,Kochi,589,5,train,4-star,5,off,short,couple,2930,36800,19217,69448,medium
Kochi,Goa,352,4,bus,4-star,4,off,medium,solo,1007,18708,12352,30885,low
Goa,Jaipur,1326,3,train,3-star,1,normal,long,couple,1481,4055,1629,8428,medium
Kolkata,Delhi,1163,1,flight,3-star,5,off,short,family,11460,5426,2511,29055,high
Delhi,Pune,666,2,bus,4-star,5,peak,long,solo,2909,11517,9194,22759,medium
Mumbai,Delhi,600,4,flight,4-star,5,normal,short,family,6481,31883,17345,83392,medium
Delhi,Bangalore,1999,3,bus,3-star,3,peak,medium,family,5271,8932,5474,18938,medium
Goa,Pune,1676,3,train,2-star,4,normal,long,couple,7303,3619,4296,17908,low
Mumbai,Pune,1610,4,flight,3-star,2,off,long,couple,6372,5526,3804,23524,medium
Kochi,Bangalore,1250,2,bus,5-star,2,normal,long,couple,2024,6007,4778,12334,medium
Chennai,Kolkata,938,5,flight,3-star,2,peak,short,family,4546,8537,6030,28658,medium
Bangalore,Delhi,704,4,train,4-star,1,peak,long,family,856,11806,3710,19251,medium
Kochi,Hyderabad,206,7,flight,3-star,2,normal,long,solo,895,11909,7805,30871,medium
Mumbai,Goa,857,7,bus,3-star,4,normal,short,family,2755,23809,15518,40527,low
Bangalore,Kochi,1385,5,flight,4-star,1,normal,long,family,3051,14203,4205,32128,high
Jaipur,Mumbai,832,5,flight,4-star,4,off,long,couple,6557,25051,14964,69815,medium
Kolkata,Pune,134,7,train,4-star,1,peak,medium,solo,162,23190,6545,35181,high
Jaipur,Mumbai,1283,6,bus,5-star,5,normal,medium,family,5113,88089,35772,124337,medium
Mumbai,Chennai,1795,7,flight,2-star,2,peak,long,solo,8643,5868,5376,29803,medium
Goa,Kochi,826,3,train,4-star,5,normal,long,solo,4570,21594,12783,45789,medium
Pune,Bangalore,1665,6,train,4-star,2,peak,long,family,4044,19228,10897,40241,medium
Chennai,Jaipur,1745,3,flight,5-star,5,off,long,family,17268,32429,16798,99548,high
Pune,Kochi,870,3,train,5-star,3,normal,short,family,2862,24108,10794,44440,medium
Goa,Bangalore,875,5,train,4-star,1,peak,short,couple,1040,15663,4727,25199,high
Hyderabad,Pune,950,3,flight,5-star,5,peak,short,couple,11631,39059,20216,106215,high
Kolkata,Hyderabad,1941,3,flight,2-star,5,off,medium,couple,18811,4902,4880,42852,medium
Delhi,Goa,1727,2,train,4-star,4,off,short,couple,6737,6246,6129,22506,medium
Mumbai,Hyderabad,1454,6,flight,5-star,4,normal,short,couple,12698,58604,28829,150138,high
Pune,Kolkata,1044,1,train,4-star,4,peak,long,couple,4972,7754,3688,19324,medium
Kolkata,Chennai,1327,4,flight,3-star,4,normal,long,solo,11949,11859,8757,48773,medium
Hyderabad,Kochi,606,3,flight,3-star,4,off,long,solo,4858,7067,5960,26796,medium
Delhi,Kolkata,1193,7,train,2-star,4,normal,medium,couple,5352,10539,9827,30279,low
Delhi,Hyderabad,1096,4,flight,4-star,2,off,long,couple,4357,9560,6006,29842,medium
Pune,Chennai,254,6,train,4-star,5,normal,short,family,1369,52911,25613,93995,medium
Delhi,Mumbai,221,2,bus,5-star,2,normal,medium,family,354,6031,4751,10724,medium
Goa,Hyderabad,250,5,flight,2-star,3,off,medium,family,1490,6508,4674,18984,low
Pune,Delhi,1483,4,bus,2-star,3,normal,medium,family,3658,5438,4124,12726,low
Hyderabad,Jaipur,422,6,flight,3-star,1,peak,long,couple,1031,10839,3672,23291,medium
Kolkata,Kochi,1411,2,train,2-star,5,normal,long,family,7895,2666,3550,16596,low
Bangalore,Jaipur,1715,6,train,5-star,1,off,short,family,1708,27332,6664,41982,high
Mumbai,Kochi,965,1,bus,4-star,5,off,medium,family,3461,9343,3773,15974,medium
Pune,Chennai,963,1,bus,4-star,1,off,medium,couple,684,3146,768,4428,medium
Delhi,Chennai,454,1,train,2-star,3,peak,medium,solo,1654,2004,1155,5661,low
Pune,Kochi,828,4,bus,3-star,4,peak,medium,solo,2978,13147,10074,25203,low
Hyderabad,Bangalore,1604,3,flight,4-star,4,normal,long,couple,14247,13819,10036,57097,medium
Chennai,Bangalore,1625,6,train,2-star,1,off,long,solo,1620,4036,1910,8903,low
Delhi,Pune,224,7,train,2-star,3,off,short,solo,670,9709,6530,19908,low
Mumbai,Delhi,1111,4,flight,5-star,2,normal,short,solo,4777,17879,9723,48514,high
Jaipur,Hyderabad,1312,4,bus,5-star,5,peak,long,family,5791,58290,26468,87263,medium
Kochi,Kolkata,1806,6,flight,3-star,3,normal,long,solo,11988,19734,9922,62399,medium
Jaipur,Kolkata,782,4,train,4-star,4,normal,short,family,3443,20639,13672,44457,medium
Hyderabad,Bangalore,616,6,bus,4-star,4,off,medium,solo,1789,32011,18650,50457,medium
Delhi,Hyderabad,591,4,flight,2-star,4,normal,long,couple,5093,5324,5643,24071,low
Mumbai,Jaipur,165,7,flight,2-star,4,normal,long,couple,1463,10883,10366,33957,low
Kolkata,Hyderabad,941,5,bus,3-star,3,peak,medium,couple,2505,17899,9204,28484,low
Kolkata,Jaipur,1371,4,flight,4-star,5,off,medium,couple,13705,28215,15474,85958,medium
Bangalore,Jaipur,550,1,train,2-star,1,off,short,family,538,807,312,1950,low
Kochi,Mumbai,1143,6,flight,4-star,4,normal,short,solo,10070,36215,19828,98973,medium
Hyderabad,Mumbai,1305,2,train,5-star,1,peak,long,family,1595,6440,2621,12554,high
Kolkata,Kochi,1511,2,flight,2-star,1,normal,long,family,3378,900,688,7433,medium
Kolkata,Kochi,668,2,flight,5-star,5,off,medium,solo,6542,16365,10681,50316,high
Jaipur,Delhi,256,5,flight,4-star,5,peak,long,solo,3107,46231,23146,108599,medium
Mumbai,Kochi,110,2,bus,5-star,5,normal,long,solo,454,18171,11635,29151,medium
Pune,Mumbai,1479,7,train,3-star,4,peak,short,couple,7178,26137,17156,59405,medium
Delhi,Kolkata,155,3,bus,5-star,4,peak,medium,family,539,26354,15959,41261,medium
Goa,Kochi,741,4,flight,4-star,4,normal,long,family,6605,20621,13531,61088,medium
